ID	Module	newScore	Score	LogFC	Symbol	MGI	URL	Process	Function	Component	Pathway
ENSMUSG00000056124		0.0	-1.4947691606231	0.952929075727207	B4galt6	MGI:1928380	http://www.kegg.jp/dbget-bin/www_bget?mmu:56386				
ENSMUSG00000006958		0.0	-5.33179430842408	-0.136203547735399	Chrd	MGI:1313268	http://www.kegg.jp/dbget-bin/www_bget?mmu:12667				
ENSMUSG00000063594		0.0	-5.19620735178473	-0.173778901830247	Gng8	MGI:109163	http://www.kegg.jp/dbget-bin/www_bget?mmu:14709				
ENSMUSG00000032808		0.0	-3.74109672815486	0.335560035687871	Cyp2c38	MGI:1306819	http://www.kegg.jp/dbget-bin/www_bget?mmu:13097				
ENSMUSG00000020573		0.0	-5.01560870241243	-0.176702434511579	Pik3cg	MGI:1353576	http://www.kegg.jp/dbget-bin/www_bget?mmu:30955				
ENSMUSG00000071000		0.0	-5.44449508833079	0.175249463385999	Olfr155	MGI:1352681	http://www.kegg.jp/dbget-bin/www_bget?mmu:29845				
ENSMUSG00000079434		0.0	-3.29371174307335	0.401272965254681	Neu2	MGI:1344417	http://www.kegg.jp/dbget-bin/www_bget?mmu:23956				
ENSMUSG00000032807		0.0	-6.24118359430305	-0.000519377562615553	Alox12b	MGI:1274782	http://www.kegg.jp/dbget-bin/www_bget?mmu:11686				
ENSMUSG00000038473		0.0	-5.31018160589483	0.133812421570971	Nos1ap	MGI:1917979	http://www.kegg.jp/dbget-bin/www_bget?mmu:70729				
ENSMUSG00000027452		0.0	-5.80338189835684	-0.0975865055735632	Acss1	MGI:1915988	http://www.kegg.jp/dbget-bin/www_bget?mmu:68738				
ENSMUSG00000089789		0.0	-6.10266621651577	-0.0251637568018796	Rdh1	MGI:1195275	http://www.kegg.jp/dbget-bin/www_bget?mmu:107605				
ENSMUSG00000049112		0.0	-4.2880769731685	0.285228648071498	Oxtr	MGI:109147	http://www.kegg.jp/dbget-bin/www_bget?mmu:18430				
ENSMUSG00000019139		0.0	-4.41062240140962	-1.04137710864803	Isyna1	MGI:1919030	http://www.kegg.jp/dbget-bin/www_bget?mmu:71780				
ENSMUSG00000036499		0.0	-4.88734115322155	0.224732231435971	Eea1	MGI:2442192	http://www.kegg.jp/dbget-bin/www_bget?mmu:216238				
